killsDiff,minionsKilledDiff,wardPlacedDiff,firstBlood,heralds,dragons,teamWins
-4,-49,-4,red,none,red,red
0,24,-2,red,none,red,red
2,-37,2,red,blue,blue,blue
1,55,0,blue,blue,red,red
-8,21,1,blue,none,red,red
0,7,8,blue,none,blue,red
-4,-36,-3,red,red,red,red
11,16,12,blue,none,none,blue
-5,4,-41,red,none,red,red
-5,-15,-2,red,none,blue,red
0,16,3,blue,blue,red,blue
-3,24,1,red,none,red,red
5,28,5,blue,none,blue,blue
-2,6,-23,red,none,red,red
3,7,28,blue,none,blue,blue
3,-38,0,red,red,red,red
0,38,-14,red,blue,none,blue
-4,-4,-5,red,none,blue,red
1,52,-1,red,none,none,red
-9,-71,-2,red,none,blue,red
-2,-41,-2,red,none,red,red
-13,-60,53,red,none,blue,red
-5,-12,8,red,none,none,blue
0,-12,-2,red,none,blue,blue
2,33,-3,blue,blue,none,red
0,35,-2,blue,blue,red,red
3,-18,-1,red,none,red,blue
4,20,20,blue,none,blue,blue
-5,13,-70,red,none,red,red
0,27,18,red,none,red,blue
9,52,1,blue,none,blue,blue
-2,-14,9,red,blue,red,red
1,-2,107,blue,blue,none,red
-4,-29,1,blue,red,none,blue
-1,5,6,red,none,red,blue
7,2,-2,blue,blue,blue,blue
-5,-10,21,red,none,none,red
4,47,7,blue,none,none,blue
3,-41,13,blue,none,blue,red
5,-12,-20,red,none,blue,red
-3,21,0,red,blue,none,red
-3,-18,16,red,none,red,red
8,40,-4,red,none,red,blue
2,34,4,red,none,blue,blue
6,47,60,blue,red,none,blue
-1,-26,0,red,none,blue,red
3,32,11,blue,none,none,red
0,34,0,red,blue,red,red
6,-2,2,blue,none,none,red
-6,-53,23,red,none,red,red
-2,-23,-4,red,none,red,red
1,-5,1,red,none,blue,blue
2,20,11,blue,none,none,blue
-2,-24,27,red,none,blue,red
-2,-24,13,red,none,blue,red
-4,-68,4,red,none,red,red
5,17,17,red,blue,blue,blue
4,-3,-3,red,blue,blue,blue
-5,-45,-7,red,none,red,red
-1,3,-2,red,none,blue,blue
1,50,-4,blue,none,blue,blue
0,27,-19,blue,none,none,red
10,63,11,blue,none,red,blue
2,8,2,blue,none,blue,blue
-7,15,20,blue,none,blue,red
-1,6,15,red,blue,none,blue
-2,-6,0,blue,none,red,red
-2,7,-22,red,red,blue,blue
4,9,9,blue,blue,red,blue
4,13,0,blue,none,red,blue
10,15,-48,red,none,blue,blue
5,39,-2,blue,none,none,blue
-5,-13,-1,red,none,red,blue
6,23,7,blue,none,blue,blue
-3,-4,4,red,red,red,red
-2,35,-2,red,blue,red,red
4,22,5,red,none,blue,blue
2,20,42,red,none,red,blue
-9,-63,-2,blue,none,red,red
5,28,-18,red,blue,blue,blue
4,43,-2,red,none,red,blue
-8,-34,6,red,none,blue,red
3,-21,3,blue,blue,red,red
-6,-7,-24,red,red,red,red
-5,-40,-14,red,blue,red,red
-1,5,2,red,none,blue,blue
-2,15,1,red,none,red,red
-4,3,4,blue,none,red,blue
1,-21,21,blue,none,none,red
4,5,22,blue,none,blue,blue
2,32,-1,blue,none,none,blue
-5,-16,0,blue,none,none,red
-2,22,5,red,blue,blue,blue
-5,-29,-8,red,red,none,red
-3,18,27,red,none,red,red
6,25,22,blue,none,none,blue
3,-26,-3,blue,red,blue,red
6,-7,0,blue,none,blue,blue
-4,-15,-1,blue,none,none,red
3,34,-30,blue,none,blue,blue
5,14,22,red,red,blue,blue
-9,-29,2,red,blue,red,red
5,-12,20,blue,blue,blue,blue
-3,-17,0,red,blue,red,red
2,3,1,red,red,blue,red
-5,-101,-5,red,none,none,red
-6,6,-125,red,none,red,red
-1,-25,-4,blue,none,red,red
2,2,-26,blue,blue,blue,blue
-3,7,-27,blue,none,blue,red
0,-24,4,red,none,none,red
-1,63,3,blue,none,blue,red
-3,9,-7,red,none,none,red
-2,17,2,red,blue,none,red
-1,-42,0,red,none,none,red
1,25,-13,red,none,blue,red
-1,8,-2,blue,none,red,red
-1,16,2,blue,none,blue,blue
-2,-5,-6,blue,none,red,red
6,-7,8,blue,none,red,blue
2,-14,3,blue,none,blue,blue
3,-32,14,blue,red,red,red
-6,-60,0,red,none,blue,red
-2,23,-2,blue,blue,blue,blue
3,38,-3,blue,blue,red,red
1,53,2,blue,none,blue,red
3,41,2,red,none,none,blue
3,53,-1,blue,none,blue,blue
1,64,2,blue,none,red,blue
0,0,0,blue,none,red,red
-7,-75,1,red,none,blue,red
6,23,1,red,none,none,blue
-2,-19,1,red,red,blue,red
-1,20,-26,red,none,blue,blue
-5,-19,-3,red,none,none,blue
-3,-39,3,red,blue,none,blue
-4,14,9,blue,none,red,red
-3,21,-4,red,none,blue,blue
-1,-6,39,blue,blue,blue,blue
9,0,4,blue,none,blue,blue
-3,-35,-5,red,none,red,blue
4,17,1,blue,none,blue,blue
4,55,-8,blue,blue,blue,blue
10,104,-15,blue,red,blue,blue
-4,-39,7,red,red,none,red
0,54,-3,red,blue,blue,blue
-5,96,4,blue,blue,red,red
-5,-62,26,red,none,red,red
-3,21,-1,red,none,red,red
5,-39,35,blue,none,blue,blue
1,7,0,blue,none,none,red
-1,8,-4,blue,none,blue,red
-4,5,-5,red,none,red,blue
8,5,-5,blue,blue,red,blue
5,-25,-12,blue,none,blue,red
1,56,1,red,blue,blue,blue
-9,23,3,blue,none,red,red
-3,-52,3,red,blue,blue,blue
-3,50,-37,red,none,red,red
-3,-5,-1,red,blue,red,red
2,-34,-34,blue,none,red,red
2,8,4,red,red,blue,blue
-4,-11,13,red,red,none,blue
-3,-3,1,red,red,red,blue
-4,-66,-1,blue,none,none,red
-4,-25,69,blue,none,red,red
-1,33,-2,red,blue,none,red
3,11,6,blue,blue,blue,blue
3,26,7,red,none,red,blue
-5,-40,4,blue,red,red,red
0,24,-22,red,none,red,red
6,37,23,blue,none,none,blue
-6,-34,-2,red,none,red,red
4,-5,-5,red,red,none,blue
-3,30,4,blue,none,none,red
-3,-2,-26,blue,red,red,red
11,-5,1,blue,none,none,blue
-3,17,3,blue,red,red,red
-3,2,0,blue,none,red,red
-1,-27,20,red,none,red,red
1,-10,2,blue,none,none,blue
3,15,-2,blue,blue,blue,blue
0,10,5,red,blue,red,red
2,26,3,blue,none,none,blue
-4,5,0,red,none,red,red
-2,-28,2,red,none,blue,blue
-9,15,-3,blue,red,red,red
-10,-51,0,red,none,red,red
-1,62,2,red,none,blue,blue
2,41,-36,blue,blue,red,blue
-6,-51,-2,red,red,red,red
5,-22,-1,blue,red,blue,red
-5,-35,2,red,none,red,red
-4,-12,-1,red,none,blue,red
-3,-12,0,red,blue,blue,blue
0,-2,-1,red,none,blue,blue
-3,-38,3,red,none,blue,blue
0,8,4,red,blue,none,red
2,82,-1,blue,blue,none,blue
5,-8,0,blue,none,blue,blue
-3,7,5,blue,none,none,red
3,4,-2,red,none,red,blue
3,-6,-2,blue,none,blue,blue
1,5,10,blue,none,red,blue
0,21,62,blue,blue,red,blue
10,45,2,blue,none,blue,blue
-7,-8,-19,red,blue,blue,red
6,-4,61,blue,red,blue,blue
-4,-66,-27,red,none,none,blue
-3,-1,-6,blue,none,red,red
4,7,-29,blue,none,none,blue
-5,-10,1,red,red,red,red
3,13,-31,blue,none,blue,blue
1,-18,-37,red,none,none,blue
1,-2,-35,blue,blue,red,blue
0,11,4,red,red,none,blue
1,-11,6,red,none,blue,blue
7,25,-2,blue,none,blue,blue
-7,-32,-131,red,none,none,red
0,0,29,blue,red,blue,blue
1,-51,-4,red,none,blue,red
-4,-45,24,red,red,red,red
1,17,22,blue,blue,red,blue
1,-11,-2,red,none,blue,blue
-4,-18,-5,blue,none,red,blue
-1,2,24,blue,none,red,red
0,30,-28,blue,blue,red,red
-2,21,-20,blue,none,red,red
7,52,5,red,none,blue,blue
6,2,2,blue,none,blue,blue
-6,-52,-27,red,none,blue,red
2,-16,22,blue,blue,blue,blue
-3,-18,4,blue,none,blue,red
5,-14,-39,blue,none,blue,blue
-2,-61,18,red,none,none,red
3,31,23,blue,blue,blue,blue
6,4,19,blue,none,red,blue
1,5,9,blue,blue,none,blue
4,37,3,red,none,none,blue
-4,-16,4,red,none,red,red
-2,17,-2,blue,none,blue,red
1,-23,-21,red,blue,none,blue
7,36,0,red,none,none,blue
-1,19,18,red,blue,none,red
-4,2,-5,blue,red,blue,blue
7,-26,0,red,none,blue,blue
-5,-35,-1,red,red,none,red
-6,-28,-4,blue,red,red,red
-7,-12,-15,red,none,red,red
9,59,3,red,none,blue,blue
1,34,0,red,none,none,blue
2,69,3,blue,none,none,red
1,11,24,red,none,none,blue
1,-18,29,blue,blue,red,blue
3,-15,128,blue,none,blue,red
3,24,23,blue,none,blue,blue
5,6,-4,blue,none,blue,blue
5,-8,3,red,none,blue,blue
-1,-20,-27,blue,none,blue,blue
-2,-12,-2,blue,none,none,red
0,3,-30,red,none,red,red
2,42,0,blue,none,blue,blue
3,-35,4,blue,red,blue,red
-3,-35,28,red,blue,none,red
-2,-58,-22,blue,none,red,red
3,35,0,blue,red,blue,blue
3,39,5,red,red,none,red
4,45,-5,blue,blue,blue,blue
4,-46,81,red,none,blue,red
-1,2,-19,blue,blue,blue,blue
4,13,-25,blue,none,red,blue
-1,-15,1,red,none,red,red
4,27,-4,red,none,red,blue
4,4,1,red,none,none,blue
1,-26,0,red,none,blue,blue
-1,-17,0,blue,none,none,red
4,13,-1,blue,blue,red,blue
-3,-37,-1,red,blue,blue,red
0,-23,-3,red,none,red,blue
4,-14,2,red,red,none,blue
0,13,0,blue,none,blue,red
1,-8,-5,red,none,red,blue
1,0,3,blue,blue,blue,red
7,41,-1,blue,red,blue,blue
-5,-38,1,red,none,red,red
-2,26,-17,blue,none,red,red
-4,-25,3,red,red,blue,red
3,46,-48,blue,none,blue,blue
-7,-93,-21,red,red,red,red
-7,-26,9,red,none,red,red
6,22,-1,red,blue,blue,blue
8,28,33,blue,none,red,blue
-4,-36,-4,red,none,blue,red
-2,3,-1,red,red,none,red
-1,-11,34,red,none,blue,red
1,-60,25,red,red,none,blue
-1,3,-1,blue,none,blue,blue
-2,-15,19,red,red,none,red
-5,14,-8,red,none,red,red
0,14,-5,red,none,red,blue
0,-19,-7,red,blue,red,red
0,-28,2,red,none,blue,blue
-1,4,-2,red,none,none,blue
5,32,3,blue,blue,red,blue
2,-6,-19,red,blue,none,blue
7,63,-13,blue,none,none,blue
1,15,-4,blue,none,blue,red
-1,-63,22,red,none,none,blue
4,-6,135,red,none,red,blue
0,-40,26,blue,blue,none,red
5,38,5,blue,none,none,blue
1,-20,-3,blue,red,blue,blue
6,-46,5,blue,red,blue,red
2,-29,-1,blue,blue,blue,blue
3,-23,-9,blue,none,none,blue
4,-34,35,blue,none,blue,blue
2,28,5,blue,blue,blue,blue
7,27,-5,blue,none,red,blue
-7,-26,-24,red,none,red,red
-1,50,4,red,red,red,red
-5,32,-18,red,none,red,red
6,76,-3,red,none,blue,blue
-7,-13,-19,red,none,red,red
4,37,-2,blue,none,blue,blue
3,24,1,blue,none,blue,blue
1,-3,-2,blue,blue,blue,blue
-1,-29,-32,red,none,blue,blue
-1,3,-24,blue,blue,blue,red
1,20,-3,red,none,none,blue
7,-21,0,blue,none,none,blue
2,-19,2,red,none,red,red
-2,-15,12,red,none,blue,blue
11,40,-2,blue,blue,blue,blue
-3,-2,-2,red,none,red,red
-2,-26,-2,red,blue,red,blue
-5,10,-5,red,red,none,red
1,47,1,red,none,none,blue
-3,11,-87,red,none,blue,red
-1,-47,-1,blue,red,blue,blue
-1,-8,5,red,none,red,blue
-1,24,20,red,none,red,blue
-1,-13,-4,blue,red,red,blue
3,46,5,blue,none,red,blue
-1,-7,-3,red,none,blue,blue
3,-1,2,blue,none,blue,blue
3,45,5,blue,blue,red,blue
-9,-58,2,red,red,red,red
0,34,2,blue,red,blue,blue
-1,-3,1,red,none,none,red
-6,-23,-27,red,none,none,red
-3,-19,-4,red,none,blue,red
-2,6,-10,red,none,red,blue
1,-1,3,red,red,red,blue
0,28,13,red,none,red,red
-4,-15,71,red,none,red,red
8,26,1,blue,none,blue,blue
5,9,-41,blue,blue,none,blue
0,4,4,blue,none,blue,blue
3,-12,2,blue,blue,blue,blue
1,10,-31,red,blue,red,red
2,-62,1,blue,blue,blue,blue
6,55,7,blue,none,blue,blue
-2,-17,0,red,red,red,red
10,36,4,blue,none,red,blue
0,6,0,blue,none,none,red
5,0,47,blue,blue,blue,blue
-2,5,2,red,blue,red,red
2,-50,75,blue,none,blue,blue
-3,-8,18,red,blue,red,red
2,24,-3,red,blue,blue,blue
8,32,1,blue,none,red,red
2,-2,3,red,none,none,blue
-3,-50,7,red,none,none,blue
-2,-25,-33,red,none,red,red
-2,38,5,blue,none,none,red
-5,-10,2,red,none,none,red
-6,-16,-5,blue,none,red,red
1,-40,-4,red,none,blue,blue
0,-53,2,red,none,blue,red
-6,-26,-17,red,none,red,red
-3,-52,-3,red,none,red,red
4,-12,-1,blue,none,blue,blue
4,65,1,blue,blue,blue,blue
2,-18,-22,blue,none,none,blue
2,14,-2,red,red,blue,red
-5,-24,-10,red,red,blue,blue
-6,-20,72,red,none,red,red
1,2,-1,blue,none,red,red
6,21,0,blue,blue,blue,blue
4,-7,3,blue,blue,blue,blue
2,96,67,blue,none,red,blue
-3,-10,-25,red,none,red,red
4,41,3,blue,none,red,blue
0,31,-34,red,none,none,blue
-3,29,19,blue,none,red,red
3,-18,-6,red,red,none,red
8,-20,35,blue,none,blue,blue
6,-22,3,blue,blue,red,blue
-3,-27,1,red,blue,red,red
-2,-52,1,red,red,red,red
0,-8,-1,red,none,blue,red
6,12,51,blue,none,none,blue
0,-22,-4,blue,none,blue,red
-6,3,66,red,none,none,red
0,-35,1,blue,blue,blue,red
7,32,3,blue,blue,none,blue
-5,-31,4,red,none,red,red
6,32,1,red,blue,red,blue
-9,-63,-6,red,red,red,red
5,64,2,blue,blue,blue,blue
-4,45,0,red,blue,blue,red
4,-19,-39,red,none,none,red
6,24,1,blue,none,blue,blue
2,-17,31,blue,none,blue,blue
1,38,-6,blue,none,blue,blue
1,-26,-44,blue,none,red,red
-4,-24,63,red,red,none,red
0,-5,-19,blue,none,blue,blue
11,57,-5,blue,blue,red,blue
5,-10,-36,blue,blue,blue,blue
1,35,2,blue,none,none,red
-3,-11,4,blue,red,red,blue
0,-68,-4,blue,blue,none,red
-1,-10,5,blue,none,red,blue
3,-21,0,red,none,none,blue
7,-2,6,blue,none,none,blue
4,-4,1,blue,red,blue,blue
-4,-24,-1,red,none,red,red
5,-16,57,blue,red,red,red
-2,-24,44,blue,red,red,red
4,49,14,red,none,red,blue
-1,9,-22,red,none,none,red
1,-22,0,blue,none,blue,blue
-2,17,0,red,blue,red,blue
-1,-25,19,red,none,none,red
-5,-27,-6,red,none,red,red
1,-35,-32,blue,blue,red,red
1,-14,5,red,none,none,blue
-1,-32,-7,red,none,none,red
-8,-68,-64,red,red,none,red
-3,23,0,blue,red,blue,blue
4,0,2,blue,blue,blue,blue
4,0,4,red,none,red,blue
-4,49,-3,red,blue,red,blue
-2,24,2,blue,none,none,red
2,6,1,blue,none,red,blue
4,34,74,blue,none,blue,blue
0,-8,-2,blue,blue,blue,blue
-5,-13,-3,red,red,none,red
9,-5,-3,blue,blue,blue,red
-1,-36,-3,blue,none,none,red
3,28,3,red,none,red,red
1,-11,-41,blue,blue,red,red
-5,2,-2,red,none,red,red
5,82,-155,blue,none,none,blue
0,21,2,red,red,blue,blue
1,-17,-59,blue,blue,blue,blue
2,-26,2,red,none,none,red
1,5,-23,red,none,red,blue
-9,-13,3,red,red,none,red
-3,-38,-24,red,none,blue,red
2,53,-6,blue,none,red,blue
4,13,0,blue,none,blue,red
-1,47,4,blue,none,blue,red
4,18,-3,red,none,red,red
2,-27,-3,red,none,red,red
-7,-62,-2,red,none,red,red
-5,-70,20,red,red,none,red
-3,-30,-2,red,none,none,red
-1,40,-7,blue,none,blue,blue
5,-22,5,red,none,red,blue
12,34,1,blue,none,blue,blue
0,-14,4,red,none,red,blue
8,2,3,blue,none,blue,blue
4,64,-1,blue,none,blue,blue
5,-3,5,blue,none,blue,blue
-1,20,-27,blue,none,blue,red
2,36,0,red,blue,blue,blue
1,-13,-9,red,none,red,blue
7,2,13,blue,blue,blue,blue
-1,19,-5,red,none,blue,red
3,32,0,blue,blue,blue,blue
-2,-27,-2,red,blue,none,red
-4,-10,-1,blue,none,blue,red
0,-34,6,red,blue,none,red
3,21,0,blue,red,blue,red
-8,-44,-4,red,none,red,red
-1,14,2,blue,none,red,blue
4,37,-26,blue,blue,none,red
-1,23,12,red,none,red,red
4,38,-3,blue,none,red,red
-3,12,-6,red,red,blue,red
1,29,0,blue,blue,red,blue
0,-28,3,blue,blue,red,red
0,-13,-24,blue,none,red,red
1,31,-45,blue,red,blue,red
-5,3,-58,red,red,blue,red
0,-4,2,blue,none,blue,blue
-3,-32,-5,blue,none,blue,red
3,47,-7,blue,none,none,red
-4,-49,5,red,none,red,red
-3,-12,0,blue,none,red,red
4,3,2,red,red,none,red
0,-3,9,red,none,red,blue
-3,12,0,red,none,red,red
-5,21,14,red,none,red,blue
-2,16,-7,red,blue,red,blue
2,0,1,red,none,red,blue
-1,-61,0,red,none,none,red
-4,-35,-1,blue,none,red,red
-1,5,5,blue,none,red,red
0,10,-3,blue,blue,red,red
-1,-18,2,blue,none,blue,red
-5,-14,-4,red,none,blue,blue
1,-47,7,red,none,blue,blue
-3,-18,1,red,red,none,red
6,54,4,blue,blue,blue,blue
5,34,5,blue,blue,blue,blue
0,-4,-1,red,none,red,red
-1,20,0,blue,none,red,blue
-3,-44,-63,red,none,blue,red
2,0,-4,blue,none,red,blue
-5,-58,-9,blue,blue,none,red
3,9,-16,blue,none,none,blue
0,-6,-19,red,none,red,blue
-4,-10,-28,red,blue,red,red
-1,40,3,blue,none,none,blue
4,10,3,blue,red,red,blue
-7,-13,-4,red,blue,blue,red
-3,-22,-2,blue,none,blue,red
-6,0,6,red,none,blue,red
-2,7,-53,red,none,red,blue
-3,2,4,red,blue,red,red
0,-21,2,blue,red,blue,red
5,46,40,red,none,none,red
2,54,10,blue,none,blue,blue
5,51,4,red,red,blue,red
0,40,4,red,blue,blue,blue
-9,37,-3,red,none,red,red
1,1,4,blue,none,blue,red
5,56,2,blue,none,none,blue
3,52,-1,blue,none,blue,blue
0,19,-4,blue,none,blue,red
-1,-3,1,blue,none,none,red
4,-34,71,red,blue,blue,red
-1,-10,0,red,red,none,blue
2,12,1,blue,none,red,blue
3,0,3,blue,blue,red,red
1,-26,-2,red,none,red,blue
3,41,9,blue,none,blue,blue
4,79,0,blue,none,none,blue
-1,5,2,blue,red,blue,blue
-2,-7,-1,red,none,red,red
0,16,-5,blue,none,blue,red
0,-10,-26,red,none,none,red
1,28,2,blue,none,red,blue
-2,-29,-19,red,none,red,red
-2,-11,-1,red,blue,none,blue
4,2,2,red,red,blue,red
-1,-35,-23,blue,red,blue,red
-6,-59,22,red,red,red,red
-4,43,5,red,none,red,blue
1,0,2,blue,none,none,red
-13,-47,40,red,none,blue,red
0,-19,-3,blue,none,blue,red
4,-8,-9,blue,blue,none,blue
-9,-50,-3,red,none,red,red
0,1,7,blue,none,none,blue
2,-42,0,red,red,red,blue
3,27,1,blue,none,none,blue
-5,-12,2,blue,red,none,red
0,25,5,blue,blue,none,blue
-3,-35,3,red,blue,red,blue
-2,-13,1,red,none,red,blue
-5,-2,-1,red,none,red,red
2,10,-15,blue,none,blue,blue
-3,-19,-2,blue,none,blue,blue
-6,-9,-2,red,none,blue,red
3,-35,4,blue,none,red,red
-3,-9,22,red,none,blue,red
1,12,17,blue,blue,red,red
3,-70,8,blue,none,red,red
7,110,2,blue,none,none,blue
5,37,4,blue,blue,red,blue
0,15,-16,red,none,blue,red
1,23,6,red,none,red,blue
2,15,-20,blue,blue,blue,blue
1,-7,-2,blue,none,blue,red
2,-4,-5,blue,blue,red,red
-3,-18,-9,red,blue,red,red
-2,-18,-4,blue,none,red,red
-3,-23,7,blue,red,blue,blue
-3,-72,9,red,none,red,red
3,13,1,blue,blue,blue,red
6,59,-23,blue,none,blue,blue
7,48,1,blue,none,blue,blue
2,29,0,blue,none,none,blue
5,13,-3,blue,none,blue,blue
1,-52,5,blue,red,blue,blue
2,-5,-2,blue,blue,blue,red
0,35,-21,red,none,blue,red
-2,-62,3,red,none,none,red
-1,34,-1,red,none,red,blue
-2,-3,1,blue,none,red,red
-3,8,8,red,blue,blue,blue
7,53,4,red,red,blue,blue
0,-5,-25,blue,none,blue,blue
-4,-39,35,red,none,blue,red
5,-13,-6,red,none,blue,red
-1,-5,-11,blue,blue,blue,blue
-1,49,-19,blue,none,red,blue
5,-20,1,red,none,red,blue
1,-9,-24,blue,blue,red,red
2,-7,-1,blue,none,none,blue
0,6,-7,blue,blue,red,red
4,9,1,blue,none,blue,blue
1,12,-1,blue,none,blue,red
-1,-26,-4,red,none,blue,blue
1,27,14,red,none,none,red
-4,-42,4,red,none,red,red
-5,-5,1,red,none,red,red
-6,-76,30,red,none,blue,red
1,17,-3,red,none,none,red
5,34,1,blue,none,none,blue
-1,-37,4,red,red,red,red
1,30,-5,blue,blue,red,blue
6,9,-5,red,none,none,red
-7,2,-2,red,none,blue,red
-1,5,-4,red,red,red,red
-5,-54,0,red,none,none,red
1,-23,-1,blue,none,blue,blue
-2,39,47,red,none,red,red
8,48,-1,blue,none,none,blue
-1,23,-59,red,blue,blue,blue
-6,42,-5,red,none,none,red
